MR32 ASCII
Name	Post fatigue 
Frequency	1500
Date	22-05-2023 12:05:53
"Time,s"	"RT RECTUS FEM.,uV"	"RT BICEPS FEM.,uV"	"RT LAT. GASTRO,uV"	"LT RECTUS FEM.,uV"	"LT TIB.ANT.,uV"	"LT BICEPS FEM.,uV"	"LT LAT. GASTRO,uV"	"RT TIB.ANT.,uV"
0.0347	2.06314	11.1132	23.7974	-1.99751	6.94465	3.26598	-7.35103	1.4899
0.0353	1.45083	-3.22824	15.5806	-1.0793	7.54266	2.35051	-10.6855	1.18891
0.0360	3.28386	-13.9129	11.0007	-1.38537	4.49473	-1.00206	-5.1533	5.14693
0.0367	3.89228	-20.6265	11.8987	-0.472529	6.01869	0.519587	-1.81881	3.62693
0.0373	2.97576	-23.0548	4.26557	-1.38537	13.0405	2.35051	-4.2439	-1.26416
0.0380	2.67155	-25.1974	-4.84928	-4.13462	15.1818	0.210309	-5.75957	-2.16713
0.0387	2.97576	-30.0827	-0.898015	-3.21642	12.4425	0.519587	-2.42508	-1.56515
0.0393	2.97576	-30.9968	3.36756	-0.778598	13.3492	4.49072	2.72822	-0.346139
0.0400	2.06314	-25.5117	-0.314305	-2.60965	19.7537	2.65979	4.54703	3.32594
0.0407	0.53431	-22.1406	0	-3.52249	23.7275	-1.91753	3.63762	6.06495
0.0413	1.14662	-23.0548	3.05325	-0.472529	25.2515	-0.395876	4.2439	6.06495
0.0420	1.45083	-21.5407	2.15524	0.139611	27.3928	3.26598	6.13849	6.36594
0.0427	-2.81975	-17.8839	2.73895	-2.60965	25.2515	2.65979	7.9573	5.46297
0.0433	-5.2612	-15.427	2.46954	-2.60965	19.1556	0.519587	9.77612	5.46297
0.0440	-2.51555	-15.7413	-3.36756	-1.99751	14.5645	0.210309	10.0793	5.76396
0.0447	-0.686413	-20.6265	-6.1065	-3.21642	7.54266	0.519587	7.9573	0.270891
0.0453	-1.59903	-26.7116	-2.42464	-3.21642	-0.385814	-2.53608	2.42508	-6.1402
0.0460	-1.90714	-27.94	-2.42464	-1.38537	2.35346	-4.05773	-1.21254	-6.1402
0.0467	-1.59903	-28.2543	-4.57988	1.05245	10.3012	-2.83299	-0.303135	-5.52317
0.0473	-0.686413	-31.5968	-1.52663	1.97066	10.8992	-4.05773	-4.54703	-8.57822
0.0480	1.14662	-30.6826	9.15976	0.139611	12.7318	-5.88866	-17.0514	-10.7153
0.0487	1.14662	-23.6833	18.6338	-0.778598	19.7537	-3.45155	-23.1899	-11.3323
0.0493	0.230104	-17.2554	15.2663	-0.778598	18.847	-2.53608	-14.9294	-12.2503
0.0500	1.14662	-11.456	1.84093	-0.778598	12.1338	-4.97319	-2.12195	-12.8523
0.0507	1.14662	-4.74237	-0.314305	-0.166459	15.4904	-3.14227	-1.21254	-11.9343
0.0513	0.230104	-4.14244	9.78837	0.139611	24.3448	-0.705154	-16.7482	-11.3323
0.0520	2.97576	-8.11346	14.6377	0.139611	22.5122	-2.53608	-26.8275	-12.2503
0.0527	6.33372	-9.62759	12.8416	0.75175	11.5165	-4.05773	-14.9294	-15.9073
0.0533	5.41721	-14.1986	13.4253	0.139611	5.11203	-1.00206	1.21254	-18.6463
0.0540	2.97576	-29.7684	14.6377	-2.60965	2.97077	1.43505	5.83536	-17.7434
0.0547	2.36735	-52.0518	14.952	-2.60965	1.75545	0.210309	1.51568	-14.9893
0.0553	3.58807	-63.6507	11.315	1.05245	6.01869	-0.705154	-4.85017	-10.4143
0.0560	2.97576	-56.6228	0.314305	2.5828	4.80338	0.828866	-7.0479	-5.83921
0.0567	0.842416	-41.6815	-8.21684	0.75175	-15.9534	2.35051	-3.03135	-4.6202
0.0573	0.53431	-25.1974	-5.47789	0.44568	-39.7581	0.828866	-1.81881	1.4899
0.0580	2.06314	-1.9998	-0.898015	1.35852	-39.7581	0.519587	0	17.3521
0.0587	1.75503	21.4835	-3.95127	1.66459	-26.9298	1.74433	7.35103	28.0372
0.0593	2.06314	41.0244	-10.9558	1.05245	-17.786	1.12577	10.6855	25.2982
0.0600	3.89228	65.1362	-11.8987	1.05245	-12.5968	0.210309	8.56357	21.3252
0.0607	2.97576	72.764	-6.1065	0.139611	-14.7188	2.04124	9.16984	18.8871
0.0613	-0.686413	43.4527	-7.31883	-1.69144	-20.5253	3.57526	9.47298	13.996
0.0620	-1.29483	9.59902	-21.6422	-0.778598	-18.0754	3.26598	6.74476	7.901
0.0627	-0.378307	-1.71411	-34.1695	1.05245	-12.2882	2.65979	3.63762	2.40792
0.0633	-1.90714	-5.97082	-38.4351	-0.778598	-13.1948	2.35051	-3.03135	-0.346139
0.0640	-2.81975	-7.48495	-39.0637	-2.60965	-15.0274	1.43505	-8.56357	0.872872
0.0647	-2.51555	-0.171411	-34.7981	-0.778598	-11.3622	1.12577	-4.85017	1.79089
0.0653	-4.34858	4.0853	-25.0097	0.75175	-6.48167	1.12577	0.909406	2.40792
0.0660	-5.2612	7.77064	-14.3233	-0.472529	-2.52708	1.43505	2.42508	4.22891
0.0667	-4.34858	18.7409	-3.36756	0.139611	-0.385814	2.04124	3.63762	4.84594
0.0673	-4.34858	22.3977	6.73512	2.5828	-0.694465	3.26598	3.03135	5.14693
0.0680	-3.73627	12.0273	13.1559	2.27673	-1.60113	3.26598	0.606271	8.50298
0.0687	0.230104	2.88542	18.9481	-1.69144	-2.21843	1.12577	2.42508	9.72199
0.0693	-0.686413	-0.77135	24.7403	-3.82855	-0.385814	0.519587	3.03135	9.421
0.0700	-4.65279	-2.31405	27.4793	-0.472529	1.4468	2.35051	-2.12195	11.257
0.0707	-2.51555	-1.0856	27.4793	3.49564	-0.385814	2.35051	-4.85017	10.64
0.0713	-2.21134	-0.77135	21.0585	1.05245	-1.90978	-0.705154	-2.42508	5.14693
0.0720	-6.17772	-3.5425	10.1027	-1.69144	0.829499	-1.91753	0.606271	1.4899
0.0727	-5.2612	-5.05663	7.31883	-0.778598	1.75545	0.519587	2.72822	0.571882
0.0733	-2.51555	-5.05663	9.15976	-0.778598	-3.43374	1.43505	3.33449	-3.08515
0.0740	-5.87351	-4.74237	-1.21232	-1.69144	-5.88366	0.519587	1.51568	-6.44119
0.0747	-8.31496	-5.97082	-16.4786	0.139611	-1.29248	0.519587	0	-6.75723
0.0753	-6.79003	-10.856	-19.2175	0.44568	2.35346	-0.0865979	0	-5.83921
0.0760	-7.09424	-24.5975	-17.3766	-2.60965	3.58807	-1.62062	-1.51568	-5.52317
0.0767	-7.09424	-48.995	-18.9032	-0.778598	4.80338	-2.2268	-3.94076	-4.92119
0.0773	-5.2612	-73.4211	-15.85	2.5828	4.80338	-2.2268	-4.2439	-6.1402
0.0780	-5.2612	-79.2205	-6.1065	0.75175	2.35346	-1.00206	-2.12195	-7.97624
0.0787	-5.87351	-68.5359	-2.11034	-0.778598	0.540139	-1.31134	0.606271	-7.6602
0.0793	-5.2612	-54.5087	-6.37591	1.35852	1.75545	-3.14227	0.606271	-6.44119
0.0800	-5.56931	-40.453	-3.05325	1.05245	4.18608	-4.05773	-0.303135	-6.1402
0.0807	-5.2612	-24.8832	8.57605	-0.778598	5.71004	-3.74845	-1.21254	-7.05822
0.0813	-4.34858	-10.5418	9.15976	-0.166459	6.01869	-3.45155	-1.51568	-6.75723
0.0820	-5.87351	-5.05663	-5.16359	0.139611	6.94465	-2.83299	-2.12195	-4.30416
0.0827	-8.61917	-6.88501	-13.7396	-0.166459	7.85131	-3.74845	-1.21254	-2.78416
0.0833	-8.01076	-1.39986	-11.5844	1.35852	4.80338	-6.49484	1.21254	-3.08515
0.0840	-5.2612	15.3984	-14.3233	2.27673	0.540139	-7.1134	2.42508	-2.78416
0.0847	-4.957	16.3126	-27.4344	0.44568	-0.385814	-4.05773	2.72822	-0.030099
0.0853	-7.70265	-8.7134	-41.4883	0.139611	-1.29248	-1.31134	1.51568	0.872872
0.0860	-9.53569	-24.8832	-42.3863	0.44568	-4.05104	-1.00206	-5.1533	-0.030099
0.0867	-8.01076	-18.4838	-34.7981	-1.0793	-5.26636	-1.31134	-12.5043	0.270891
